Date,product_id,Group,Sub-Group,sales_units,production_units,delivery_units,factory_units
2023-01-01,AT5X5K,A,AT,2642.0,1500,707.0,970.0
2023-01-01,ATN01K24P,A,ATN,5184.0,3500,470.0,2600.0
2023-01-01,ATN02K12P,A,ATN,1819.0,200,497.08,100.0
2023-01-01,ATPA1K24P,A,ATPA,0.0,0,0.0,0.0
2023-01-01,ATPPCH5X5K,A,ATPPCH,0.0,0,0.0,0.0
2023-01-01,ATWWP001K24P,A,ATWWP,42.0,0,0.0,0.0
2023-01-01,ATWWP002K12P,A,ATWWP,100.0,0,0.0,0.0
2023-01-01,EEA200G24P,E,EEA,0.0,0,0.0,0.0
2023-01-01,EEA500G12P,E,EEA,0.0,0,0.0,0.0
2023-01-01,MAC1K25P,M,MAC,0.0,0,0.0,0.0
2023-01-01,MAHS025K,M,MAHS,25.0,48,0.0,43.0
2023-01-01,MAP1K25P,M,MAP,0.0,0,0.0,0.0
2023-01-01,MAPA1K24P,M,MAPA,0.0,0,0.0,0.0
2023-01-01,MAR01K24P,M,MAR,1607.0,100,137.0,480.0
2023-01-01,MAR02K12P,M,MAR,464.0,100,99.0,0.0
2023-01-01,MASR025K,M,MASR,96.0,0,120.0,0.0
2023-01-01,POP001L12P,P,POP,3906.0,1012,1056.0,400.0
2023-01-01,POP002L09P,P,POP,228.0,0,89.0,0.0
2023-01-01,POP005L04P,P,POP,83.0,0,10.00098901098901,0.0
2023-01-01,POP015K,P,POP,0.0,0,0.0,0.0
2023-01-01,POP500M24P,P,POP,428.9999999999999,0,82.0,0.0
2023-01-01,POPF01L12P,P,POPF,779.9999999999999,200,10.0,152.0
2023-01-01,POV001L24P,P,POV,1829.0,201,634.0000000000001,390.0
2023-01-01,POV002L09P,P,POV,572.9999999999999,0,84.00000000000001,200.0
2023-01-01,POV005L04P,P,POV,348.0000000000001,0,72.00000000000001,100.0
2023-01-01,POV500M24P,P,POV,1349.0,205,414.0,245.0
2023-01-01,SE200G24P,S,SE,225.0,0,0.0,200.0
2023-01-01,SE500G24P,S,SE,1507.0,1000,160.0,1341.0
