Date,product_id,forecast_sales_units,selected_model,Group,Sub-Group
2023-08-10,AT5X5K,252.0,seasonal_naive_7,A,AT
2023-08-11,AT5X5K,0.0,seasonal_naive_7,A,AT
2023-08-12,AT5X5K,16.0,seasonal_naive_7,A,AT
2023-08-13,AT5X5K,752.0,seasonal_naive_7,A,AT
2023-08-14,AT5X5K,558.0,seasonal_naive_7,A,AT
2023-08-15,AT5X5K,0.0,seasonal_naive_7,A,AT
2023-08-16,AT5X5K,0.0,seasonal_naive_7,A,AT
2023-08-17,AT5X5K,252.0,seasonal_naive_7,A,AT
2023-08-18,AT5X5K,0.0,seasonal_naive_7,A,AT
2023-08-19,AT5X5K,16.0,seasonal_naive_7,A,AT
2023-08-20,AT5X5K,752.0,seasonal_naive_7,A,AT
2023-08-21,AT5X5K,558.0,seasonal_naive_7,A,AT
2023-08-22,AT5X5K,0.0,seasonal_naive_7,A,AT
2023-08-23,AT5X5K,0.0,seasonal_naive_7,A,AT
2023-08-10,ATN01K24P,2388.875,seasonal_naive_7,A,ATN
2023-08-11,ATN01K24P,0.0,seasonal_naive_7,A,ATN
2023-08-12,ATN01K24P,115.417,seasonal_naive_7,A,ATN
2023-08-13,ATN01K24P,4677.375,seasonal_naive_7,A,ATN
2023-08-14,ATN01K24P,2739.375,seasonal_naive_7,A,ATN
2023-08-15,ATN01K24P,0.0,seasonal_naive_7,A,ATN
2023-08-16,ATN01K24P,0.0,seasonal_naive_7,A,ATN
2023-08-17,ATN01K24P,2388.875,seasonal_naive_7,A,ATN
2023-08-18,ATN01K24P,0.0,seasonal_naive_7,A,ATN
2023-08-19,ATN01K24P,115.417,seasonal_naive_7,A,ATN
2023-08-20,ATN01K24P,4677.375,seasonal_naive_7,A,ATN
2023-08-21,ATN01K24P,2739.375,seasonal_naive_7,A,ATN
2023-08-22,ATN01K24P,0.0,seasonal_naive_7,A,ATN
2023-08-23,ATN01K24P,0.0,seasonal_naive_7,A,ATN
2023-08-10,ATN02K12P,2654.333333333333,seasonal_naive_7,A,ATN
2023-08-11,ATN02K12P,0.0,seasonal_naive_7,A,ATN
2023-08-12,ATN02K12P,259.167,seasonal_naive_7,A,ATN
2023-08-13,ATN02K12P,807.1666666666666,seasonal_naive_7,A,ATN
2023-08-14,ATN02K12P,641.75,seasonal_naive_7,A,ATN
2023-08-15,ATN02K12P,0.0,seasonal_naive_7,A,ATN
2023-08-16,ATN02K12P,0.0,seasonal_naive_7,A,ATN
2023-08-17,ATN02K12P,2654.333333333333,seasonal_naive_7,A,ATN
2023-08-18,ATN02K12P,0.0,seasonal_naive_7,A,ATN
2023-08-19,ATN02K12P,259.167,seasonal_naive_7,A,ATN
2023-08-20,ATN02K12P,807.1666666666666,seasonal_naive_7,A,ATN
2023-08-21,ATN02K12P,641.75,seasonal_naive_7,A,ATN
2023-08-22,ATN02K12P,0.0,seasonal_naive_7,A,ATN
2023-08-23,ATN02K12P,0.0,seasonal_naive_7,A,ATN
2023-08-10,ATPA1K24P,0.0,seasonal_naive_7,A,ATPA
2023-08-11,ATPA1K24P,0.0,seasonal_naive_7,A,ATPA
2023-08-12,ATPA1K24P,0.0,seasonal_naive_7,A,ATPA
2023-08-13,ATPA1K24P,0.0,seasonal_naive_7,A,ATPA
2023-08-14,ATPA1K24P,0.0,seasonal_naive_7,A,ATPA
2023-08-15,ATPA1K24P,0.0,seasonal_naive_7,A,ATPA
2023-08-16,ATPA1K24P,0.0,seasonal_naive_7,A,ATPA
2023-08-17,ATPA1K24P,0.0,seasonal_naive_7,A,ATPA
