Group,Sub-Group,model,actual_total,forecast_total,absolute_error_total
A,AT,previous_week,17672.8,21413.6,9172.0
A,AT,moving_average_4,17672.8,16027.4,7948.0
A,AT,moving_average_8,17672.8,14032.5,7948.0
A,ATN,previous_week,110814.629,126361.82933333333,34227.795
A,ATN,moving_average_4,110814.629,107167.40266666666,34227.795
A,ATN,moving_average_8,110814.629,86590.51383333333,38952.45408333333
A,ATPA,previous_week,0.0,0.0,0.0
A,ATPA,moving_average_4,0.0,0.0,0.0
A,ATPA,moving_average_8,0.0,0.0,0.0
A,ATPPCH,previous_week,0.0,0.0,0.0
A,ATPPCH,moving_average_4,0.0,0.0,0.0
A,ATPPCH,moving_average_8,0.0,0.0,0.0
A,ATWWP,previous_week,2087.04,473.84000000000003,1613.1999999999998
A,ATWWP,moving_average_4,2087.04,1579.7516666666668,507.2883333333332
A,ATWWP,moving_average_8,2087.04,1749.1078333333332,386.48608333333334
E,EEA,previous_week,0.0,0.0,0.0
E,EEA,moving_average_4,0.0,0.0,0.0
E,EEA,moving_average_8,0.0,0.0,0.0
M,MAC,previous_week,135.0,40.0,105.0
M,MAC,moving_average_4,135.0,84.0,105.0
M,MAC,moving_average_8,135.0,127.0,105.0
M,MAHS,previous_week,1250.0,1148.0,594.0
M,MAHS,moving_average_4,1250.0,758.0,789.0
M,MAHS,moving_average_8,1250.0,626.5,854.75
M,MAP,previous_week,475.0,0.0,475.0
M,MAP,moving_average_4,475.0,0.0,475.0
M,MAP,moving_average_8,475.0,0.0,475.0
M,MAPA,previous_week,0.0,0.0,0.0
M,MAPA,moving_average_4,0.0,0.0,0.0
M,MAPA,moving_average_8,0.0,0.0,0.0
M,MAR,previous_week,18762.042999999998,21528.308,3138.1910000000007
M,MAR,moving_average_4,18762.042999999998,27092.446,8330.403
M,MAR,moving_average_8,18762.042999999998,21936.246,3342.16
M,MASR,previous_week,4722.0,3216.0,1598.0
M,MASR,moving_average_4,4722.0,2468.0,2254.0
M,MASR,moving_average_8,4722.0,2425.5,2296.5
P,POP,previous_week,91050.0,84160.0,22480.0
P,POP,moving_average_4,91050.0,85689.0,22480.0
P,POP,moving_average_8,91050.0,69610.5,26764.75
P,POPF,previous_week,4624.0,2400.0,2224.0
P,POPF,moving_average_4,4624.0,4736.0,1196.0
P,POPF,moving_average_8,4624.0,3348.0,1410.0
P,POV,previous_week,92141.0,106796.0,29018.999999999993
P,POV,moving_average_4,92141.0,97105.0,29018.999999999993
P,POV,moving_average_8,92141.0,83549.5,29018.999999999993
S,SE,previous_week,16295.629166666668,22374.0,6146.211000000001
S,SE,moving_average_4,16295.629166666668,18856.24091666667,4387.331458333336
S,SE,moving_average_8,16295.629166666668,16579.724416666668,3249.073208333335
S,SO,previous_week,0.0,0.0,0.0
S,SO,moving_average_4,0.0,0.0,0.0
S,SO,moving_average_8,0.0,0.0,0.0
S,SOP,previous_week,1619.5829710144926,3350.680072463768,1731.0971014492752
S,SOP,moving_average_4,1619.5829710144926,2603.170018115942,983.5870471014496
S,SOP,moving_average_8,1619.5829710144926,2407.0435235507243,787.4605525362317
S,SOS,previous_week,442426.9910326087,588232.5038647342,145805.51283212547
S,SOS,moving_average_4,442426.9910326087,514190.7328804347,73174.64932065211
S,SOS,moving_average_8,442426.9910326087,476264.23242753616,54211.39909420283
